,Model,Accuracy,Precision,Recall,F1 Score,ROC AUC
0,CatBoost,0.9333333333333332,0.9433333333333334,0.9349999999999999,0.9321789321789321,0.97
1,Gradient Boosting,0.9305555555555556,0.9400000000000001,0.9349999999999999,0.9301587301587301,0.9775
2,AdaBoost,0.9305555555555556,0.9433333333333334,0.93,0.9290043290043289,0.99
3,Ensemble,0.9305555555555556,0.9400000000000001,0.9349999999999999,0.9301587301587301,0.97
4,Random Forest,0.8861111111111111,0.9033333333333333,0.8899999999999999,0.8845598845598845,0.9
5,XGBoost,0.8388888888888889,0.8647619047619047,0.835,0.8321789321789321,0.8875
