Feature,Method_Count,Importance_Sum,Normalized_Importance_Sum
GCFC2,3,5183303.528340443,0.9087747162619196
DIMT1,3,3526680.5571288583,0.6183234504705494
HSP90B1,3,2249877.0765919653,0.39446491806257233
LYRM9,3,1742462.582091059,0.305501294613062
RSRP1,3,1741915.2641797173,0.305405334830479
