,Model,Accuracy,Precision,Recall,F1 Score,ROC AUC
0,CatBoost,0.9305555555555556,0.9466666666666669,0.925,0.9278499278499279,0.945
1,Gradient Boosting,0.9305555555555556,0.9466666666666669,0.925,0.9278499278499279,0.945
2,Ensemble,0.9305555555555556,0.9466666666666669,0.925,0.9278499278499279,0.96
3,Random Forest,0.9083333333333332,0.9266666666666667,0.905,0.9056277056277056,0.9375
4,AdaBoost,0.8861111111111111,0.8966666666666667,0.8800000000000001,0.881096681096681,0.91375
5,XGBoost,0.8638888888888889,0.8864285714285713,0.86,0.8573809523809522,0.9425000000000001
